dataset,item_id,model,mae,rmse,smape,mase,error
chronos_m1_yearly,17:target,seasonal_naive,280390.15625,333655.375,0.3262726068496704,5.06236457824707,
chronos_m1_yearly,17:target,arma,341833.78125,400944.71875,0.41811028122901917,6.1717119216918945,
chronos_m1_yearly,17:target,prophet,243769.453125,276023.125,0.27883288264274597,4.401188373565674,
chronos_m1_yearly,17:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,18:target,chronos:amazon/chronos-t5-tiny,3313.251953125,3718.5498046875,0.38157474994659424,8.47541618347168,
chronos_m1_yearly,18:target,seasonal_naive,3184.524658203125,3504.778564453125,0.363640159368515,8.146126747131348,
chronos_m1_yearly,18:target,arma,3516.640869140625,3847.246337890625,0.410845547914505,8.995692253112793,
chronos_m1_yearly,18:target,prophet,1966.5894775390625,2170.43798828125,0.2074340432882309,5.030605792999268,
chronos_m1_yearly,18:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,19:target,chronos:amazon/chronos-t5-tiny,2246.756591796875,3075.56787109375,0.15229903161525726,0.8362913727760315,
chronos_m1_yearly,19:target,seasonal_naive,3223.838623046875,4468.22314453125,0.21547238528728485,1.1999824047088623,
chronos_m1_yearly,19:target,arma,2552.155029296875,3282.461669921875,0.1741449236869812,0.9499672651290894,
chronos_m1_yearly,19:target,prophet,10412.494140625,11337.3056640625,0.5241038799285889,3.8757553100585938,
chronos_m1_yearly,19:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m4_hourly,0:target,chronos:amazon/chronos-t5-tiny,14.253307342529297,19.890823364257812,0.019891150295734406,0.33639058470726013,
chronos_m4_hourly,0:target,seasonal_naive,35.04166793823242,39.722999572753906,0.05262880399823189,0.827014148235321,
chronos_m4_hourly,0:target,arma,64.97675323486328,81.60712432861328,0.09566310793161392,1.5335084199905396,
chronos_m4_hourly,0:target,prophet,26.730682373046875,33.221675872802734,0.039214879274368286,0.630867600440979,
chronos_m4_hourly,0:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,1:target,chronos:amazon/chronos-t5-tiny,172.8608856201172,184.71029663085938,0.07163285464048386,1.0469565391540527,
chronos_m4_hourly,1:target,seasonal_naive,323.0208435058594,336.5826110839844,0.12495601922273636,1.9564217329025269,
chronos_m4_hourly,1:target,arma,465.9740295410156,547.183349609375,0.1836211234331131,2.822237968444824,
chronos_m4_hourly,1:target,prophet,475.88671875,493.50787353515625,0.17809025943279266,2.8822755813598633,
chronos_m4_hourly,1:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,2:target,chronos:amazon/chronos-t5-tiny,76.46987915039062,96.46017456054688,0.05428776144981384,0.9693344831466675,
chronos_m4_hourly,2:target,seasonal_naive,130.2916717529297,148.53590393066406,0.09583506733179092,1.6515811681747437,
chronos_m4_hourly,2:target,arma,234.73687744140625,271.10052490234375,0.17585547268390656,2.975531578063965,
chronos_m4_hourly,2:target,prophet,220.5903778076172,247.40415954589844,0.16982035338878632,2.796210289001465,
chronos_m4_hourly,2:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,3:target,chronos:amazon/chronos-t5-tiny,454.35595703125,529.6640625,0.0959509015083313,1.7543903589248657,
chronos_m4_hourly,3:target,seasonal_naive,379.6041564941406,464.838134765625,0.07399830967187881,1.4657536745071411,
chronos_m4_hourly,3:target,arma,610.568603515625,730.2852783203125,0.12439735978841782,2.357569456100464,
chronos_m4_hourly,3:target,prophet,312.6837158203125,380.710693359375,0.06281866878271103,1.2073558568954468,
