source_run,dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
heavier_chronos,chronos_weather,chronos_t5_small,1.3823977860875447,2.9468976343200457,1.836871651146147,0.4289295725278437,0.2831481481481481,3.798799635059592,0.9314745846896862,0.9572466741171194,0.9764482703175008,180,0,False,60,60,0,122.6425003459808
heavier_chronos,chronos_weather,chronos_t5_mini,1.3824921968646369,2.9471610305566776,1.8401260733604432,0.4291966145976138,0.2844444444444444,3.8013342975274376,0.9394411385717848,0.9613804878081632,0.9745809211960804,180,0,False,60,60,0,92.19227011202749
heavier_chronos,external_national_illness,chronos_t5_mini,208739.8133680556,269154.3498263889,0.1820735211173693,2.4313042760814465,,,0.1368853661217003,0.1427529760144391,0.1516158666971127,9,0,False,3,3,0,3.9740511310046713
heavier_chronos,external_national_illness,chronos_t5_small,266038.8602430556,316611.81163194444,0.2449715683857599,3.063154492626908,,,0.1800060891142149,0.1884022587143196,0.1442426152975324,9,0,False,3,3,0,4.44509911399291
heavier_chronos,external_national_illness,chronos_t5_large,269527.1223958333,319920.28515625,0.2508134465250704,3.118327802321679,,,0.1782208102796857,0.187194771083137,0.1518145300126754,9,0,False,3,3,0,137.48377305600297
heavier_chronos,external_national_illness,chronos_t5_base,272036.9670138889,322399.58940972225,0.2558556526071495,3.146046075164809,,,0.1864150060566144,0.1958618373975355,0.1506818203797177,9,0,False,3,3,0,8.041430895998928
heavier_chronos,external_psm,chronos_t5_small,0.0144555379429625,0.0194882642632971,0.0432340213201112,0.5101282500027922,,,0.0270133842820148,0.0342435417305969,0.0197284188726633,45,0,False,15,15,0,29.33377434601061
heavier_chronos,external_psm,chronos_t5_base,0.0147408357666184,0.0197441450061483,0.0454049990201989,0.5190037510779797,,,0.0280264678084984,0.0367268588375427,0.0205283392665534,45,0,False,15,15,0,45.91709615500076
heavier_chronos,external_psm,chronos_t5_large,0.0148460233014904,0.0198360461017323,0.0448823988644613,0.5147598812415395,,,0.0280291308090393,0.0360042416647544,0.0218815822713662,45,0,False,15,15,0,702.693389187014
heavier_chronos,external_psm,chronos_t5_mini,0.015231057582423,0.0201835123563392,0.045684657121698,0.537184414365351,,,0.0283726713284492,0.0363020186946978,0.0194654359795116,45,0,False,15,15,0,22.13406783798928
heavier_chronos,external_traffic,chronos_t5_base,0.0055511153484177,0.0070630941540002,0.1700436249375343,0.4909712542719763,,,0.1479493845286522,0.1798636593025536,0.1226368669677604,45,0,False,15,15,0,49.42474329701509
heavier_chronos,external_traffic,chronos_t5_small,0.0055820947409503,0.0070930754196726,0.1735464869274033,0.5096461571384663,,,0.1461655479274692,0.1761473709417688,0.0910423481721765,45,0,False,15,15,0,28.81261745498341
heavier_chronos,external_traffic,chronos_t5_large,0.0055920660728588,0.0070915494993742,0.1698213330573506,0.4745981179934327,,,0.1486345620684247,0.1791306533599592,0.1112577633936426,45,0,False,15,15,0,696.0629017129977
heavier_chronos,external_traffic,chronos_t5_mini,0.0059094336452997,0.0075663829843203,0.1764499949084388,0.540868033441369,,,0.1531592683559313,0.1850142214557563,0.1184835693359102,45,0,False,15,15,0,21.340634906006017
heavier_chronos,official_bls_macro,chronos_t5_mini,137.65550424353708,144.3104662951969,0.0155313725228465,0.285958763579564,,,0.0020750258020219,0.0124159557228512,0.0046003045642572,21,0,False,7,7,0,3.209728602989344
heavier_chronos,official_bls_macro,chronos_t5_small,254.9410936012864,293.20450147454227,0.0197214375116995,0.3218857610619446,,,0.0030187718564224,0.0146327821764036,0.0043960335604438,21,0,False,7,7,0,3.769496406028338
