dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
chronos_m3_quarterly,chronos_t5_small,572.0112355550131,670.0562856038412,0.12872699082104697,1.306179755155975,,,0.09214440888843145,0.10203333229119137,0.07553253542590685,180,0,False,60,60,0,37.29217930199593
chronos_m3_quarterly,chronos_t5_mini,578.6804321289062,675.2971722073025,0.13092131784392727,1.3588949860514015,,,0.092453530543823,0.10282156006952309,0.08090407485661404,180,0,False,60,60,0,30.190357318006136
chronos_m4_hourly,chronos_t5_large,122.2493707375601,161.49102098778303,0.06571689761088541,0.5240041274003964,,,0.02676829655218648,0.05352824861223944,0.017397337327726844,180,0,False,60,60,0,5193.760039480974
chronos_m4_hourly,chronos_t5_base,124.02260016474045,162.1298516858783,0.06706509794651841,0.5430985823643637,,,0.028164342258305265,0.05426003639269343,0.01676075360375499,180,0,False,60,60,0,277.6144831970014
chronos_m4_hourly,chronos_t5_small,141.3829479019675,180.06275926255103,0.06914017781253076,0.6092493393971843,,,0.030807024164174353,0.05545601065737152,0.018575134728050623,180,0,False,60,60,0,168.5787584979953
chronos_m4_hourly,chronos_t5_mini,142.5281363832454,188.60148504144615,0.0775716088932111,0.7269925929573264,,,0.031057556841928565,0.06358408264507308,0.020825652281681768,180,0,False,60,60,0,133.0464556129882
chronos_nn5_weekly,chronos_t5_large,15.825865523020427,20.01814121670193,0.11632578124602636,0.8857014458906262,,,0.0905053798086879,0.09371947948046185,0.09105973945210877,180,0,False,60,60,0,98.47198764501809
chronos_nn5_weekly,chronos_t5_base,16.39368464152018,20.629129648208618,0.1194298848302828,0.9069557637796873,,,0.09376766862822608,0.09616455014175153,0.09270440356489903,180,0,False,60,60,0,56.05677579100666
chronos_nn5_weekly,chronos_t5_small,16.62807437049018,20.995858091778224,0.12006389196548196,0.923342904705678,,,0.0954088218434671,0.09677172335287236,0.0940287279475252,180,0,False,60,60,0,35.974385665958835
chronos_nn5_weekly,chronos_t5_mini,16.82864562140571,21.186818591753642,0.1218000472833713,0.9308073291653669,,,0.09649770537434205,0.09802619278612722,0.09344784800887271,180,0,False,60,60,0,28.01212195797052
chronos_weather,chronos_t5_base,1.376165931397099,2.9314701329859614,1.80951254301601,0.42764682573960255,0.2537037037037037,3.76890465595584,0.90946840667313,0.9488975850273043,0.9712030142038788,180,0,False,60,60,0,204.58340673000566
chronos_weather,chronos_t5_large,1.376696953151046,2.9303876868081606,1.8104596694310506,0.4275272302927051,0.25537037037037036,3.7671401165965674,0.9043207857479121,0.9470841384071829,0.9595688277039884,180,0,False,60,60,0,3386.9935972799976
chronos_weather,chronos_t5_small,1.3823977860875447,2.9468976343200457,1.836871651146147,0.4289295725278437,0.28314814814814815,3.798799635059592,0.9314745846896862,0.9572466741171194,0.9764482703175008,180,0,False,60,60,0,122.6425003459808
chronos_weather,chronos_t5_mini,1.3824921968646369,2.9471610305566776,1.8401260733604432,0.4291966145976138,0.28444444444444444,3.8013342975274376,0.9394411385717848,0.9613804878081631,0.9745809211960804,180,0,False,60,60,0,92.19227011202747
external_national_illness,chronos_t5_mini,208739.81336805556,269154.3498263889,0.18207352111736932,2.4313042760814465,,,0.13688536612170035,0.14275297601443918,0.15161586669711274,9,0,False,3,3,0,3.9740511310046713
